"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Text Description","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Text Description","Region 6 Latitude","Region 6 Longitude"
"Argentina","Cuyo",,"-32,398516","-68,225098","Mendoza","-32,750323","-68,928223","Vistalba","-32,908285","-68,881236",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","San Juan","-31,503629","-68,532715","Pedernal Valley","-31,977794","-68,738708",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","San Juan","-31,503629","-68,532715","Tulum Valley","-31,530556","-68,525848",,,,,,,,,,,
"Argentina","Cuyo",,"-32,398516","-68,225098","San Juan","-31,503629","-68,532715","Zonda Valley","-31,54109","-68,768921",,,,,,,,,,,
"Argentina","North-West",,"-27,839076","-64,863281","Catamarca","-28,468991","-65,778972","Fiambala","-27,666502","-67,623596",,,,,,,,,,,
"Argentina","North-West",,"-27,839076","-64,863281","Jujuy","-22,663321","-66,236717",,,,,,,,,,,,,,
"Argentina","North-West",,"-27,839076","-64,863281","Salta","-24,782932","-65,412155","Cafayate - Calchaqui Valley","-26,037042","-65,970154",,,,,,,,,,,
"Argentina","North-West",,"-27,839076","-64,863281","Salta","-24,782932","-65,412155","Molinos","-25,411028","-66,324463",,,,,,,,,,,
"Argentina","Patagonia",,"-41,810147","-68,906269","Neuquen","-38,94928","-68,065811",,,,,,,,,,,,,,
"Argentina","Patagonia",,"-41,810147","-68,906269","Rio Negro","-40,734434","-66,617645",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Big Rivers","-35,337674","143,562899","Murray Darling","-34,578316","142,76757",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Big Rivers","-35,337674","143,562899","Perricoota","-35,970782","144,770365",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Big Rivers","-35,337674","143,562899","Riverina","-34,286616","146,035466","Griffith","-34,189086","145,953369",,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Big Rivers","-35,337674","143,562899","Swan Hill","-35,337674","143,562899",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Central Ranges","-33,286485","149,10387","Cowra","-33,770443","148,624163",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Central Ranges","-33,286485","149,10387","Mudgee","-32,611616","149,875488",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Central Ranges","-33,286485","149,10387","Orange","-33,300081","149,10018",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Hawkesbury River","-33,498532","150,896688",,,,,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Hunter Valley","-32,560704","151,173248","Broke Fordwich","-32,72509","151,055746",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Hunter Valley","-32,560704","151,173248","Hunter","-32,500496","151,144409",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Hunter Valley","-32,560704","151,173248","Pokolbin","-32,766491","151,325684",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Hunter Valley","-32,560704","151,173248","Upper Hunter Valley","-32,194209","150,897217",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Northern Rivers","-30,340139","152,713265","Hastings River","-31,436719","152,828724",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Northern Slopes","-29,798384","151,733594","New England Australia","-29,664189","151,77887",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","South Coast - New South Wales","-34,642106","150,497246","Shoalhaven Coast","-35,11036","150,490723",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","South Coast - New South Wales","-34,642106","150,497246","Southern Highlands - Australia","-34,352507","150,3479",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Southern New South Wales","-35,309522","148,660812","Canberra District","-35,281974","149,12859",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Southern New South Wales","-35,309522","148,660812","Gundagai","-35,063444","148,106346",,,,,,,,,,,
"Australia","New South Wales",,"-32,472695","145,898438","Southern New South Wales","-35,309522","148,660812","Hilltops","-34,304875","148,296204",,,,,,,,,,,
