"Country EN","Region 1 EN","Region 1 Local Language","Region 1 Latitude","Region 1 Longitude","Region 2 EN","Region 2 Latitude","Region 2 Longitude","Region 3 EN","Region 3 Latitude","Region 3 Longitude","Region 4 EN","Region 4 Latitude","Region 4 Longitude","Region 5 EN","Region 5 Latitude","Region 5 Longitude","Region 6 EN","Region 6 Latitude","Region 6 Longitude"
,,,,,,,,,,,"Barbera d'Asti Superiore Astiani","44,855869","8,275452",,,,,,
,,,,,,,,,,,"Barbera d'Asti Superiore Nizza","44,797429","8,283691",,,,,,
,,,,,,,,,,,"Barbera d'Asti Superiore Tinella","44,801327","8,118896",,,,,,
,,,,,,,,"Barbera del Monferrato Superiore","44,789633","8,322144",,,,,,,,,
,,,,,,,,"Barolo","44,613934","7,943115",,,,,,,,,
,,,,,,,,,,,"Grappa di Barolo",,,,,,,,
,,,,,,,,"Brachetto d'Acqui","44,72332","8,470459",,,,,,,,,
,,,,,,,,"Dolcetto di Diano d'Alba","44,660839","8,033752",,,,,,,,,
,,,,,,,,"Dolcetto di Dogliani Superiore","44,533227","7,944489",,,,,,,,,
,,,,,,,,"Dolcetto di Ovada Superiore","44,637391","8,640747",,,,,,,,,
,,,,,,,,"Erbaluce di Caluso","45,305479","7,889017",,,,,,,,,
,,,,,,,,"Gattinara","45,635167","8,366089",,,,,,,,,
,,,,,,,,"Gavi - Cortese di Gavi","44,709658","8,772583",,,,,,,,,
,,,,,,,,"Ghemme","45,608274","8,415527",,,,,,,,,
,,,,,,,,"Moscato d'Asti","44,972571","8,22876",,,,,,,,,
,,,,,,,,"Roero","44,807173","8,036499",,,,,,,,,
,,,,,,,,,,,"Roero Arneis","44,807173","8,036499",,,,,,
,,,,,,,,"Ruche di Castagnole Monferrato","44,963098","8,304634",,,,,,,,,
,,,,,"Pinerolese","44,894796","7,333374",,,,,,,,,,,,
,,,,,"Rubino di Cantavenna","45,157833","8,196426",,,,,,,,,,,,
,,,,,"Sizzano","45,577877","8,437875",,,,,,,,,,,,
,,,,,"Strevi","44,699007","8,523309",,,,,,,,,,,,
,,,,,"Terre Alfieri","44,86755","8,063965",,,,,,,,,,,,
,,,,,"Valli Ossolane","46,118942","8,294678",,,,,,,,,,,,
,,,,,"Valsusa","45,146211","7,044983",,,,,,,,,,,,
,,,,,"Verduno Pelaverga","44,671094","7,931442",,,,,,,,,,,,
,"Puglia [Apulia]",,"40,792839","17,101193",,,,,,,,,,,,,,,
,,,,,"Aleatico di Puglia","40,792839","17,101193",,,,,,,,,,,,
,,,,,"Alezio","40,062352","18,059074",,,,,,,,,,,,
,,,,,"Brindisi","40,636175","17,938991",,,,,,,,,,,,
,,,,,"Cacc'e Mmitte di Lucera","41,508577","15,336914",,,,,,,,,,,,
,,,,,"Castel del Monte","41,240642","16,298218",,,,,,,,,,,,
,,,,,"Colline Joniche Tarantine","40,497092","17,270508",,,,,,,,,,,,
,,,,,"Copertino","40,2725","18,057352",,,,,,,,,,,,
,,,,,"Galatina",40175,"18,169074",,,,,,,,,,,,
,,,,,"Gioia del Colle","40,797903","16,924622",,,,,,,,,,,,
,,,,,"Gravina","40,821178","16,419338",,,,,,,,,,,,
,,,,,"Leverano","40,289737","18,001177",,,,,,,,,,,,
,,,,,"Lizzano","40,392037","17,448444",,,,,,,,,,,,
,,,,,"Locorotondo","40,755741","17,326289",,,,,,,,,,,,
,,,,,"Martina - Martina Franca","40,705018","17,33918",,,,,,,,,,,,
,,,,,"Matino","40,033296","18,132667",,,,,,,,,,,,
,,,,,"Moscato di Trani","41,265697","16,437337",,,,,,,,,,,,
,,,,,"Nardo","40,17593","18,030423",,,,,,,,,,,,
,,,,,"Orta Nova","41,326319","15,707118",,,,,,,,,,,,
,,,,,"Ostuni","40,728778","17,57737",,,,,,,,,,,,
,,,,,"Primitivo di Manduria","40,402815","17,634389",,,,,,,,,,,,
,,,,,"Puglia DOCG","40,792839","17,101193",,,,,,,,,,,,
,,,,,,,,"Castel del Monte Bombino Nero","41,058644","16,270752",,,,,,,,,
,,,,,,,,"Castel del Monte Nero di Troia Riserva","41,066928","16,265259",,,,,,,,,
,,,,,,,,"Castel del Monte Rosso Riserva","41,081421","16,262512",,,,,,,,,
